time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1695389724915486700,0.27648681640625,0,0,0,0,0,0,0
1695389724933778000,0.29477783203125,-0.024466438218951225,0.019904406741261482,0.16241370141506195,0.9862186312675476,0.04983719810843468,-0.3250718414783478,0.05778057128190994
1695389724952067600,0.313067626953125,-0.017868569120764732,0.021994732320308685,0.16223879158496857,0.9863446354866028,0.05192629247903824,-0.3249492347240448,0.044741541147232056
1695389724970358300,0.331358154296875,-0.011538872495293617,0.023924287408590317,0.1615709364414215,0.9865036606788635,0.053750280290842056,-0.3238602578639984,0.03217513486742973
1695389724988644400,0.349644287109375,-0.005513290874660015,0.025479286909103394,0.15934538841247559,0.9868786931037903,0.054851431399583817,-0.3196435272693634,0.020017096772789955
1695389725006923500,0.367923583984375,-0.000041612664062995464,0.02695317007601261,0.15683768689632416,0.9872565269470215,0.0560138002038002,-0.3148520588874817,0.008978172205388546
1695389725025195300,0.3861953125,0.004037405364215374,0.028891615569591522,0.1553180068731308,0.987433671951294,0.05866739898920059,-0.3120031952857971,0.0010522379307076335
1695389725043464400,0.40446435546875,0.0071513778530061245,0.031411927193403244,0.15482613444328308,0.9874163269996643,0.06287863105535507,-0.3112039566040039,-0.0046178302727639675
1695389725061717500,0.422717529296875,0.00999609474092722,0.03413158655166626,0.15473446249961853,0.9873157739639282,0.06760042905807495,-0.31122592091560364,-0.009639156050980091
1695389725079960800,0.4409609375,0.012476875446736813,0.037017568945884705,0.15528027713298798,0.9870977997779846,0.0727926641702652,-0.31254082918167114,-0.013804780319333076
1695389725098219500,0.459219482421875,0.014957761391997337,0.03970915451645851,0.15643468499183655,0.9867763519287109,0.07758220285177231,-0.31510889530181885,-0.0179824847728014
1695389725116474000,0.47747412109375,0.0177888423204422,0.041872892528772354,0.15837208926677704,0.9863308668136597,0.08115299791097641,-0.31930238008499146,-0.022992461919784546
1695389725134717700,0.4957177734375,0.02143651433289051,0.04352456331253052,0.1610032320022583,0.9857606291770935,0.08336169272661209,-0.3249773681163788,-0.029811955988407135
1695389725152970500,0.513970458984375,0.02590428851544857,0.04476659744977951,0.16405972838401794,0.9850935935974121,0.08439068496227264,-0.3315909206867218,-0.03845106437802315
1695389725171247900,0.532247802734375,0.030578434467315674,0.04582378640770912,0.16722840070724487,0.9843778610229492,0.08490154147148132,-0.33845940232276917,-0.04759237915277481
1695389725189534200,0.5505341796875,0.035261910408735275,0.04657267406582832,0.17047375440597534,0.9836291670799255,0.08469787240028381,-0.3454821705818176,-0.056880224496126175
1695389725207815700,0.568815673828125,0.03979546204209328,0.047069013118743896,0.1736152470111847,0.9828828573226929,0.08395674079656601,-0.3522741198539734,-0.06598158180713654
1695389725226099000,0.587098876953125,0.044397756457328796,0.04736431688070297,0.17661356925964355,0.9821370244026184,0.08270836621522903,-0.3587704002857208,-0.07534285634756088
1695389725244382700,0.6053828125,0.0489717535674572,0.04750775173306465,0.17941942811012268,0.9814038276672363,0.08109693974256516,-0.3648603856563568,-0.08474788814783096
1695389725262665200,0.623665283203125,0.0531439408659935,0.047584809362888336,0.18196111917495728,0.9807148575782776,0.07945985347032547,-0.37037137150764465,-0.09337914735078812
1695389725280952800,0.641952880859375,0.05716140195727348,0.047704316675662994,0.18437126278877258,0.9800326824188232,0.07793200761079788,-0.3756028413772583,-0.10170251876115799
1695389725299243800,0.660243896484375,0.06067795678973198,0.04793320968747139,0.18650130927562714,0.9794069528579712,0.07681568711996078,-0.38023459911346436,-0.1089598685503006
1695389725317535000,0.678534912109375,0.06340859830379486,0.048428259789943695,0.1882336139678955,0.9788780808448792,0.07658720761537552,-0.3840268850326538,-0.11447667330503464
1695389725335825700,0.69682568359375,0.06516174226999283,0.04935275763273239,0.18957804143428802,0.9784571528434753,0.07769083976745605,-0.3870084285736084,-0.11776508390903473
1695389725354112800,0.71511279296875,0.06618531048297882,0.050614289939403534,0.19047538936138153,0.9781497120857239,0.07984957844018936,-0.3890685737133026,-0.1193811371922493
1695389725372400400,0.733400390625,0.06638120114803314,0.05197130888700485,0.19097872078418732,0.9779672026634216,0.08259525150060654,-0.3902738690376282,-0.11921150237321854
1695389725390690300,0.751690185546875,0.06637996435165405,0.05333380401134491,0.19128598272800446,0.9778338074684143,0.08545577526092529,-0.3910641074180603,-0.1186259463429451
1695389725408980200,0.769980224609375,0.06604118645191193,0.05463293567299843,0.19124801456928253,0.9777923822402954,0.0883573666214943,-0.39111316204071045,-0.11736387759447098
1695389725427267800,0.788267822265625,0.06567477434873581,0.055793631821870804,0.19102415442466736,0.9777953028678894,0.09099382907152176,-0.39076247811317444,-0.11611072719097137
1695389725445551000,0.806551025390625,0.06561550498008728,0.05677013099193573,0.19072186946868896,0.9778021574020386,0.09311705082654953,-0.39025744795799255,-0.11559252440929413
1695389725463835000,0.8248349609375,0.06539574265480042,0.05735563114285469,0.1905132383108139,0.9778233170509338,0.09446924924850464,-0.38988083600997925,-0.11489279568195343
1695389725482121700,0.843121826171875,0.0652264952659607,0.05757059156894684,0.19055674970149994,0.9778136014938354,0.0949922576546669,-0.3899781405925751,-0.11444121599197388
1695389725500410400,0.861410400390625,0.06492292135953903,0.05761314183473587,0.1908050775527954,0.9777827858924866,0.09518828988075256,-0.39045873284339905,-0.11376457661390305
1695389725518690300,0.879690185546875,0.06468363106250763,0.05756183713674545,0.19123069941997528,0.9777185320854187,0.09514354169368744,-0.3912954032421112,-0.11325341463088989
1695389725536961000,0.8979609375,0.06500386446714401,0.05759226158261299,0.19193190336227417,0.9775581359863281,0.09501350671052933,-0.3927566707134247,-0.11388096213340759
1695389725555219200,0.91621923828125,0.06571391969919205,0.057697296142578125,0.19287727773189545,0.9773184061050415,0.09485446661710739,-0.3947615325450897,-0.11529283970594406
1695389725573474600,0.934474609375,0.06610272824764252,0.05774302035570145,0.19389328360557556,0.9770883321762085,0.09469717741012573,-0.396872341632843,-0.1160440668463707
1695389725591745000,0.9527451171875,0.0664236769080162,0.0577821247279644,0.19486288726329803,0.9768713712692261,0.09455731511116028,-0.39888179302215576,-0.11665733903646469
1695389725610023000,0.97102294921875,0.06670691817998886,0.05782901123166084,0.1956736296415329,0.9766871929168701,0.09446308761835098,-0.40056538581848145,-0.11719643324613571
1695389725628307700,0.9893076171875,0.06690213829278946,0.05789026618003845,0.1963890939950943,0.9765265583992004,0.094445139169693,-0.4020484685897827,-0.117547407746315
1695389725646595800,1.007595947265625,0.06666211038827896,0.05786193907260895,0.1968638151884079,0.9764491319656372,0.09444670379161835,-0.4029887020587921,-0.117022305727005
1695389725664886800,1.02588671875,0.06648004055023193,0.057844217866659164,0.19722490012645721,0.9763896465301514,0.09445619583129883,-0.403704434633255,-0.11662216484546661
1695389725683185000,1.044184814453125,0.06595003604888916,0.057755544781684875,0.19760192930698395,0.976354718208313,0.09446529299020767,-0.4044107496738434,-0.11550968885421753
1695389725701482000,1.06248193359375,0.06559421122074127,0.05776005610823631,0.19798679649829865,0.9763003587722778,0.09459702670574188,-0.4051608741283417,-0.1147274523973465
1695389725719771600,1.080771728515625,0.0654735341668129,0.05801333487033844,0.19836778938770294,0.9762161374092102,0.09515713900327682,-0.405955046415329,-0.11433817446231842
1695389725738058800,1.099058837890625,0.06510502099990845,0.05805851146578789,0.1987047642469406,0.9761695265769958,0.09538653492927551,-0.4066109359264374,-0.11351292580366135
1695389725756346600,1.1173466796875,0.06452012062072754,0.057913888245821,0.19904682040214539,0.9761472940444946,0.09530652314424515,-0.40723422169685364,-0.11230839043855667
1695389725774637000,1.135636962890625,0.06423509865999222,0.0578184649348259,0.19931015372276306,0.9761179685592651,0.09520666301250458,-0.40773212909698486,-0.1117267981171608
1695389725792927200,1.15392724609375,0.06368844956159592,0.05772861838340759,0.19955536723136902,0.9761090874671936,0.09523587673902512,-0.4081684350967407,-0.11058501154184341
1695389725811217200,1.172217041015625,0.06317798793315887,0.05761760473251343,0.19977258145809174,0.9761043787002563,0.09520675241947174,-0.40854892134666443,-0.10953126847743988
1695389725829507600,1.190507568359375,0.06257731467485428,0.05754254758358002,0.2000451683998108,0.9760916829109192,0.09529035538434982,-0.409037709236145,-0.10826559364795685
1695389725847797200,1.20879736328125,0.062071554362773895,0.05743547901511192,0.20027278363704681,0.9760835766792297,0.09526779502630234,-0.4094405174255371,-0.10721920430660248
1695389725866082600,1.22708251953125,0.06159758195281029,0.05731726437807083,0.20057088136672974,0.9760593771934509,0.09520246833562851,-0.4099891483783722,-0.1062413677573204
1695389725884367400,1.245367431640625,0.06135379523038864,0.05725871026515961,0.20082294940948486,0.9760263562202454,0.09516644477844238,-0.41047295928001404,-0.1057315394282341
1695389725902654700,1.26365478515625,0.06089349091053009,0.05716406926512718,0.2011192888021469,0.975999653339386,0.0951465368270874,-0.4110221564769745,-0.10477225482463837
1695389725920940000,1.28193994140625,0.06041135638952255,0.05711708962917328,0.20137159526348114,0.9759803414344788,0.09524200111627579,-0.41148465871810913,-0.10374757647514343
1695389725939223300,1.300223388671875,0.05988467484712601,0.05698705092072487,0.20172955095767975,0.9759464263916016,0.09517277032136917,-0.4121495187282562,-0.10265804082155228
1695389725957509600,1.318509521484375,0.0593114048242569,0.056910086423158646,0.20210453867912292,0.9759083390235901,0.09523741900920868,-0.41285037994384766,-0.10144393146038055
1695389725975799600,1.336799560546875,0.05881497636437416,0.056791264563798904,0.20244018733501434,0.9758757948875427,0.095181904733181,-0.41347432136535645,-0.1004149317741394
1695389725994091000,1.355091064453125,0.05853725224733353,0.05676595866680145,0.20277568697929382,0.9758242964744568,0.09522902220487595,-0.4141290485858917,-0.09981163591146469
1695389726012377900,1.3733779296875,0.058028414845466614,0.05668695271015167,0.2031400501728058,0.9757835268974304,0.09526361525058746,-0.41481471061706543,-0.09873601049184799
1695389726030659000,1.3916591796875,0.0575169213116169,0.05658184736967087,0.203490749001503,0.975746750831604,0.09524530172348022,-0.4154696762561798,-0.09766697138547897
1695389726048943000,1.409943115234375,0.056973427534103394,0.05651739984750748,0.2039046585559845,0.9756960272789001,0.09532513469457626,-0.41625481843948364,-0.09650687873363495
1695389726067226600,1.4282265625,0.05642326548695564,0.05645957589149475,0.20425164699554443,0.9756587743759155,0.09542746841907501,-0.41690343618392944,-0.09533333033323288
1695389726085511000,1.446510986328125,0.055852409452199936,0.05639166757464409,0.20464785397052765,0.9756125807762146,0.0955154299736023,-0.41764968633651733,-0.09411650896072388
1695389726103799000,1.464799072265625,0.05558148771524429,0.05648192763328552,0.20499102771282196,0.9755507111549377,0.09581038355827332,-0.41833212971687317,-0.09347328543663025
1695389726122088200,1.483088134765625,0.055011820048093796,0.05645228177309036,0.2052934318780899,0.9755212068557739,0.0959872454404831,-0.4188906252384186,-0.0922469049692154
1695389726140379400,1.50137939453125,0.054413918405771255,0.05644173175096512,0.20559190213680267,0.9754924774169922,0.09621890634298325,-0.4194400906562805,-0.09095119684934616
1695389726158673200,1.519673095703125,0.05381885915994644,0.056403037160634995,0.20580251514911652,0.9754832983016968,0.09639480710029602,-0.4198077917098999,-0.08967989683151245
1695389726176962800,1.537962890625,0.053166210651397705,0.056383341550827026,0.2059948593378067,0.9754796028137207,0.0966392531991005,-0.42013412714004517,-0.08827751129865646
1695389726195251000,1.5562509765625,0.052860815078020096,0.05629971623420715,0.20623262226581573,0.9754508137702942,0.09658633917570114,-0.4205818176269531,-0.08764509856700897
1695389726213540900,1.574540771484375,0.052211448550224304,0.05608898028731346,0.2064341902732849,0.9754552245140076,0.09642023593187332,-0.42091041803359985,-0.08633599430322647
1695389726231829800,1.592829833984375,0.05155717954039574,0.055733513087034225,0.2066761702299118,0.9754592180252075,0.09594444185495377,-0.4213089346885681,-0.08507974445819855
1695389726250119200,1.611119140625,0.05084829777479172,0.05537569895386696,0.20688685774803162,0.9754721522331238,0.09549069404602051,-0.4216387867927551,-0.08370969444513321
1695389726268407600,1.629407470703125,0.050148990005254745,0.05497680604457855,0.20716238021850586,0.9754723906517029,0.09494175016880035,-0.4220993220806122,-0.08237455040216446
1695389726286696400,1.647696533203125,0.049508579075336456,0.054682016372680664,0.20738139748573303,0.9754751920700073,0.09459245949983597,-0.42245984077453613,-0.08112181723117828
1695389726304985300,1.6659853515625,0.04869549721479416,0.05439084395766258,0.20762909948825836,0.9754797220230103,0.09432937949895859,-0.4228632152080536,-0.0794951394200325
1695389726323272000,1.68427197265625,0.04837599769234657,0.05419019237160683,0.20778854191303253,0.9754728078842163,0.09403835982084274,-0.4231417775154114,-0.07889127731323242
1695389726341556700,1.702556640625,0.04757748171687126,0.05384482443332672,0.2079801857471466,0.975490391254425,0.09365580976009369,-0.4234289228916168,-0.07732454687356949
1695389726359838000,1.720837890625,0.046807631850242615,0.05343636870384216,0.20816436409950256,0.9755107164382935,0.09312546998262405,-0.4236994981765747,-0.07584886997938156
1695389726378117400,1.739117431640625,0.045949626713991165,0.052938062697649,0.20831456780433655,0.975546658039093,0.09244472533464432,-0.4238865375518799,-0.0742279663681984
1695389726396397300,1.757397216796875,0.04498908668756485,0.051257114857435226,0.20832975208759308,0.9756779670715332,0.08927840739488602,-0.42370158433914185,-0.07294192165136337
1695389726414678800,1.7756787109375,0.044398970901966095,0.049406424164772034,0.2080225646495819,0.9758660197257996,0.085591159760952,-0.42288336157798767,-0.07254844158887863
1695389726432966400,1.79396630859375,0.042939312756061554,0.0470932312309742,0.2075117826461792,0.9761543273925781,0.08132044225931168,-0.42154571413993835,-0.0705120861530304
1695389726451255800,1.812255859375,0.04111186042428017,0.044733382761478424,0.20694544911384583,0.9764642119407654,0.07711994647979736,-0.4200737476348877,-0.06770758330821991
1695389726469544400,1.83054443359375,0.03859415277838707,0.0417097844183445,0.2062377780675888,0.9768504500389099,0.071815624833107,-0.41823306679725647,-0.06372956186532974
1695389726487835400,1.84883544921875,0.03536657989025116,0.03769863396883011,0.2054137885570526,0.9773092269897461,0.06471990048885345,-0.4160735607147217,-0.05867752060294151
